Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT,shots_conv_rate,shots_on_target_conv_rate
1,Teresa Abelleira,MF,ES,Spain,23,2000,6.7,1,10,4,0.1,0.25
2,Deborah Abiodun,MF,NG,Nigeria,19,2003,1,0,1,0,0.0,0.0
3,Adriana,MF,BR,Brazil,26,1996,2.9,0,8,2,0.0,0.0
4,Lily Agg,MF,IE,Rep. of Ireland,29,1993,1.2,0,1,1,0.0,0.0
5,Eseosa Aigbogun,DF,CH,Switzerland,30,1993,3.5,0,0,0,0.0,0.0
6,Rasheedat Ajibade,FW,NG,Nigeria,23,1999,3.3,0,6,3,0.0,0.0
7,Michelle Alozie,DF,NG,Nigeria,26,1997,4.3,0,6,0,0.0,0.0
8,Katherine Alvarado,MF,CR,Costa Rica,32,1991,3,0,0,0,0.0,0.0
9,Lúcia Alves,DF,PT,Portugal,25,1997,1.1,0,2,2,0.0,0.0
10,Catarina Amado,DF,PT,Portugal,23,1999,1.8,0,0,0,0.0,0.0
11,Salma Amani,FW,MA,Morocco,33,1989,1.2,0,2,1,0.0,0.0
12,Jonna Andersson,DF,SE,Sweden,30,1993,6.3,0,2,0,0.0,0.0
13,Lady Andrade,FW,CO,Colombia,31,1992,0.6,0,0,0,0.0,0.0
14,Ivana Andrés,DF,ES,Spain,28,1994,2.7,0,4,2,0.0,0.0
15,Andressa,FW,BR,Brazil,30,1992,0.4,0,1,1,0.0,0.0
16,Filippa Angeldahl,MF,SE,Sweden,25,1997,5.8,1,12,4,0.083,0.25
17,Nguyễn Thị Mỹ Anh,DF|MF,VN,Vietnam,28,1994,1,0,0,0,0.0,0.0
18,Tahnai Annis,DF,PH,Philippines,33,1989,0.2,0,0,0,0.0,0.0
19,Antônia,DF,BR,Brazil,29,1994,2.5,0,3,1,0.0,0.0
20,Nicole Anyomi,FW,DE,Germany,23,2000,0.5,0,0,0,0.0,0.0
21,Carolina Arias,DF,CO,Colombia,32,1990,4.1,0,0,0,0.0,0.0
22,Daniela Arias,DF,CO,Colombia,28,1994,5,0,3,2,0.0,0.0
23,Mackenzie Arnold,GK,AU,Australia,29,1994,7.3,0,0,0,0.0,0.0
24,Ary Borges,MF,BR,Brazil,23,1999,2.3,3,7,4,0.429,0.75
25,Kosovare Asllani,MF,SE,Sweden,33,1989,5.1,1,5,3,0.2,0.333
26,Viviane Asseyi,FW|MF,FR,France,29,1993,0.5,0,0,0,0.0,0.0
27,Izzy Atkinson,MF|DF,IE,Rep. of Ireland,21,2001,0.3,0,0,0,0.0,0.0
28,Rosella Ayane,FW,MA,Morocco,27,1996,1.5,0,1,0,0.0,0.0
29,Halimatu Ayinde,MF,NG,Nigeria,28,1995,2.8,0,2,0,0.0,0.0
30,Selma Bacha,MF,FR,France,22,2000,3.8,0,9,0,0.0,0.0
31,Ramona Bachmann,MF|FW,CH,Switzerland,32,1990,3.7,1,5,0,0.2,0.0
32,Najat Badri,MF,MA,Morocco,35,1988,0.2,0,0,0,0.0,0.0
33,Jill Baijings,FW,NL,Netherlands,22,2001,0,0,0,0,0.0,0.0
34,Yenith Bailey,GK,PA,Panama,22,2001,3,0,0,0,0.0,0.0
35,Stine Ballisager Pedersen,DF,DK,Denmark,29,1994,2.8,0,0,0,0.0,0.0
36,Carina Baltrip-Reyes,DF,PA,Panama,24,1998,3,0,1,1,0.0,0.0
37,Barbra Banda,FW,ZM,Zambia,23,2000,3,1,8,3,0.125,0.333
38,Susan Banda,MF,ZM,Zambia,28,1995,2.4,0,1,0,0.0,0.0
39,Estefanía Banini,MF|FW,AR,Argentina,32,1990,3,0,3,1,0.0,0.0
40,Alicia Barker,DF,PH,Philippines,25,1998,2.4,0,0,0,0.0,0.0
41,Amber Barrett,FW,IE,Rep. of Ireland,27,1996,0.3,0,0,0,0.0,0.0
42,Elisa Bartoli,DF,IT,Italy,32,1991,0.3,0,0,0,0.0,0.0
43,Ona Batlle,DF,ES,Spain,24,1999,6.8,0,4,1,0.0,0.0
44,Angela Beard,DF,PH,Philippines,25,1997,3,0,2,1,0.0,0.0
45,Beatriz,FW|MF,BR,Brazil,29,1993,1.3,1,9,3,0.111,0.333
46,Chiara Beccari,FW,IT,Italy,18,2004,2.7,0,4,0,0.0,0.0
47,Vicki Bècho,MF|FW,FR,France,19,2003,2.5,1,6,4,0.167,0.25
48,Lorena Bedoya,MF,CO,Colombia,25,1997,4.9,0,7,3,0.0,0.0
49,Lineth Beerensteyn,FW,NL,Netherlands,26,1996,3.3,1,12,4,0.083,0.25
50,Margaret Belemu,DF,ZM,Zambia,26,1997,3,0,1,0,0.0,0.0
51,Mariana Benavides,DF,CR,Costa Rica,28,1994,3,0,1,1,0.0,0.0
52,Lorena Benítez,MF,AR,Argentina,24,1998,1.5,0,1,0,0.0,0.0
53,Hanna Bennison,MF,SE,Sweden,20,2002,1.6,0,1,0,0.0,0.0
54,Nouhaila Benzina,DF,MA,Morocco,25,1998,3,0,1,0,0.0,0.0
55,Guro Bergsvand,DF,NO,Norway,29,1994,0.1,0,0,0,0.0,0.0
56,Kholosa Biyana,MF,ZA,South Africa,28,1994,2.3,0,4,1,0.0,0.0
57,Thea Bjelde,DF,NO,Norway,23,2000,3.7,0,0,0,0.0,0.0
58,Nathalie Björn,DF,SE,Sweden,26,1997,6.3,0,4,0,0.0,0.0
59,Stina Blackstenius,FW,SE,Sweden,27,1996,5.5,1,12,3,0.083,0.333
60,Deneisha Blackwood,DF,JM,Jamaica,26,1997,4,0,2,1,0.0,0.0
61,Julie Blakstad,FW,NO,Norway,21,2001,0.6,0,0,0,0.0,0.0
62,Rebecka Blomqvist,FW,SE,Sweden,25,1997,1.8,3,3,3,1.0,1.0
63,Lisa Boattin,DF,IT,Italy,26,1997,3,0,3,1,0.0,0.0
64,Sarina Bolden,FW,PH,Philippines,26,1996,2.6,1,1,1,1.0,1.0
65,Barbara Bonansea,FW,IT,Italy,32,1991,2.3,0,2,0,0.0,0.0
66,Aitana Bonmatí,MF,ES,Spain,25,1998,6.5,3,19,6,0.158,0.5
67,Florencia Bonsegundo,FW|MF,AR,Argentina,29,1993,2.4,0,5,2,0.0,0.0
68,Roselord Borgella,FW|MF,HT,Haiti,30,1993,2.1,0,4,0,0.0,0.0
69,Ana Borges,DF,PT,Portugal,32,1990,3,0,0,0,0.0,0.0
70,CJ Bott,DF,NZ,New Zealand,28,1995,3,0,5,1,0.0,0.0
71,Sofia Bouftini,MF,MA,Morocco,21,2002,0.4,0,1,0,0.0,0.0
72,Katie Bowen,DF,NZ,New Zealand,29,1994,3,0,3,0,0.0,0.0
73,Simone Boye Sørensen,DF,DK,Denmark,31,1992,4,0,2,0,0.0,0.0
74,Jule Brand,FW,DE,Germany,20,2002,2.9,0,2,0,0.0,0.0
75,Marit Bratberg Lund,DF,NO,Norway,25,1997,0,0,0,0,0.0,0.0
76,Sophia Braun,MF|DF,AR,Argentina,22,2000,3,1,2,1,0.5,1.0
77,Millie Bright,DF,EN,England,29,1993,7.3,0,5,0,0.0,0.0
78,Lucy Bronze,DF,EN,England,31,1991,7.1,0,8,0,0.0,0.0
79,Courtney Brosnan,GK,IE,Rep. of Ireland,27,1995,3,0,0,0,0.0,0.0
80,Jody Brown,MF,JM,Jamaica,21,2002,3.7,0,2,0,0.0,0.0
81,Esmee Brugts,FW,NL,Netherlands,19,2003,4.8,2,8,4,0.25,0.5
82,Bruninha,DF,BR,Brazil,20,2002,0.4,0,1,0,0.0,0.0
83,Signe Bruun,FW,DK,Denmark,25,1998,0.9,0,4,0,0.0,0.0
84,Kadeisha Buchanan,DF,CA,Canada,27,1995,2.5,0,1,0,0.0,0.0
85,Ryley Bugay,MF|DF,PH,Philippines,27,1996,0.3,0,0,0,0.0,0.0
86,Klara Bühl,FW,DE,Germany,22,2000,2.2,1,8,1,0.125,1.0
87,Luana Bühler,DF,CH,Switzerland,27,1996,1,0,0,0,0.0,0.0
88,Claudia Bunge,DF,NZ,New Zealand,23,1999,0.6,0,1,1,0.0,0.0
89,Vilde Bøe Risa,MF,NO,Norway,27,1995,2.8,0,2,0,0.0,0.0
90,Linda Caicedo,FW,CO,Colombia,18,2005,5,2,8,2,0.25,1.0
91,Mariona Caldentey,FW,ES,Spain,27,1996,5,1,8,2,0.125,0.5
92,Diane Caldwell,DF,IE,Rep. of Ireland,34,1988,0,0,0,0,0.0,0.0
93,Viola Calligaris,DF|MF,CH,Switzerland,27,1996,0.6,0,0,0,0.0,0.0
94,Tiffany Cameron,DF|MF,JM,Jamaica,31,1991,1.7,0,1,0,0.0,0.0
95,Sofia Cantore,FW,IT,Italy,23,1999,1.3,0,5,2,0.0,0.0
96,Ana Capeta,FW|MF,PT,Portugal,25,1997,0.3,0,1,0,0.0,0.0
97,Jorelyn Carabalí,DF,CO,Colombia,26,1997,5,0,2,0,0.0,0.0
98,Olga Carmona,DF,ES,Spain,23,2000,4.8,2,11,4,0.182,0.5
99,Ellie Carpenter,DF,AU,Australia,23,2000,7.1,0,4,1,0.0,0.0
100,Jess Carter,DF,EN,England,25,1997,6.3,0,0,0,0.0,0.0
101,Trudi Carter,MF,JM,Jamaica,28,1994,1.4,0,2,0,0.0,0.0
102,Kyra Carusa,FW,IE,Rep. of Ireland,27,1995,2.7,0,7,4,0.0,0.0
103,Arianna Caruso,MF,IT,Italy,23,1999,2.3,2,4,2,0.5,1.0
104,Estelle Cascarino,DF,FR,France,26,1997,2.1,0,1,1,0.0,0.0
105,Kerstin Casparij,FW|DF,NL,Netherlands,22,2000,0.8,0,1,0,0.0,0.0
106,Katherine Castillo,DF,PA,Panama,27,1996,2,0,1,0,0.0,0.0
107,Steph Catley,DF,AU,Australia,29,1994,7.3,2,2,1,1.0,2.0
108,Emily Cedeño,FW|MF,PA,Panama,19,2003,2,0,2,0,0.0,0.0
109,Lineth Cedeño,FW,PA,Panama,22,2000,1.3,1,2,1,0.5,1.0
110,Valentina Cernoia,MF,IT,Italy,31,1991,0.2,0,0,0,0.0,0.0
111,Noxolo Cesane,MF,ZA,South Africa,22,2000,0.6,0,0,0,0.0,0.0
112,Ivonne Chacón,MF|FW,CO,Colombia,25,1997,0.2,0,3,0,0.0,0.0
113,Nesryne El Chad,DF,MA,Morocco,20,2003,3.1,0,2,1,0.0,0.0
114,Kang Chae-rim,FW|MF,KR,Korea Republic,25,1998,0.3,0,0,0,0.0,0.0
115,Olivia Chance,FW|MF,NZ,New Zealand,29,1993,1,0,1,0,0.0,0.0
116,Hellen Chanda,MF,ZM,Zambia,24,1998,1,0,1,0,0.0,0.0
117,Allysha Chapman,DF,CA,Canada,34,1989,0.7,0,0,0,0.0,0.0
118,Niamh Charles,DF|MF,EN,England,23,1999,0.2,0,0,0,0.0,0.0
119,Gabriela Chávez,DF,AR,Argentina,34,1989,0.2,0,0,0,0.0,0.0
120,Ghizlane Chebbak,MF,MA,Morocco,32,1990,4,0,4,2,0.0,0.0
121,Gao Chen,DF,CN,China PR,30,1992,0.1,0,0,0,0.0,0.0
122,Wu Chengshu,FW|MF,CN,China PR,26,1996,2.5,0,2,1,0.0,0.0
123,Remina Chiba,MF,JP,Japan,24,1999,0,0,1,0,0.0,0.0
124,Alex Chidiac,MF,AU,Australia,24,1999,0.3,0,2,1,0.0,0.0
125,Priscila Chinchilla,FW|MF,CR,Costa Rica,21,2001,3,0,0,0,0.0,0.0
126,Avell Chitundu,MF|FW,ZM,Zambia,25,1997,1.7,0,3,0,0.0,0.0
127,Lene Christensen,GK,DK,Denmark,23,2000,4,0,0,0,0.0,0.0
128,Laia Codina,DF,ES,Spain,23,2000,3.6,1,3,1,0.333,1.0
129,Cata Coll,GK,ES,Spain,22,2001,4.3,0,0,0,0.0,0.0
130,Aldana Cometti,DF,AR,Argentina,27,1996,3,0,0,0,0.0,0.0
131,Megan Connolly,DF,IE,Rep. of Ireland,26,1997,3,0,1,0,0.0,0.0
132,Laura Coombs,MF,EN,England,32,1991,1.1,0,3,0,0.0,0.0
133,Kyra Cooney-Cross,MF,AU,Australia,21,2002,7.3,0,5,2,0.0,0.0
134,Vanina Correa,GK,AR,Argentina,39,1983,3,0,0,0,0.0,0.0
135,Carole Costa,DF,PT,Portugal,33,1990,3,0,2,0,0.0,0.0
136,María Coto,DF|MF,CR,Costa Rica,25,1998,3,0,3,0,0.0,0.0
137,Jessika Cowart,DF,PH,Philippines,23,1999,2.9,0,1,0,0.0,0.0
138,Marta Cox,MF|FW,PA,Panama,25,1997,2.9,1,8,4,0.125,0.25
139,Ana-Maria Crnogorčević,FW|MF,CH,Switzerland,32,1990,4,0,5,2,0.0,0.0
140,Julieta Cruz,DF,AR,Argentina,27,1996,1.3,0,0,0,0.0,0.0
141,Sara Däbritz,MF,DE,Germany,28,1995,2.7,0,3,0,0.0,0.0
142,Kenza Dali,MF,FR,France,31,1991,3.6,1,12,3,0.083,0.333
143,Rachel Daly,DF,EN,England,31,1991,6,1,12,7,0.083,0.143
144,Élisa De Almeida,DF,FR,France,25,1998,3.3,0,3,0,0.0,0.0
145,Debinha,FW,BR,Brazil,31,1991,2.6,1,5,2,0.2,0.5
146,Valeria del Campo,DF,CR,Costa Rica,23,2000,2,0,2,1,0.0,0.0
147,Athenea del Castillo,FW,ES,Spain,22,2000,0.9,0,2,0,0.0,0.0
148,Blessing Demehin,DF,NG,Nigeria,21,2002,4.3,0,0,0,0.0,0.0
149,Savannah Demelo,MF,US,USA,25,1998,1.2,0,3,1,0.0,0.0
150,Stefanie van der Gragt,DF,NL,Netherlands,30,1992,4.7,2,5,3,0.4,0.667
151,Karabo Dhlamini,DF,ZA,South Africa,21,2001,3,0,2,0,0.0,0.0
152,Lucia Di Guglielmo,DF,IT,Italy,25,1997,2.3,0,1,0,0.0,0.0
153,Kadidiatou Diani,FW,FR,France,28,1995,5,4,17,3,0.235,1.333
154,Caitlin Dijkstra,MF|DF,NL,Netherlands,24,1999,0.5,0,0,0,0.0,0.0
155,Daphne van Domselaar,GK,NL,Netherlands,23,2000,5.3,0,0,0,0.0,0.0
156,Merel van Dongen,FW,NL,Netherlands,30,1993,0.1,0,0,0,0.0,0.0
157,Daniëlle van de Donk,MF,NL,Netherlands,31,1991,3.2,1,6,5,0.167,0.2
158,Sara Doorsoun,DF,DE,Germany,31,1991,1.5,0,0,0,0.0,0.0
159,Giulia Dragoni,MF,IT,Italy,16,2006,2.6,0,1,0,0.0,0.0
160,Melchie Dumornay,MF,HT,Haiti,19,2003,2.5,0,4,2,0.0,0.0
161,Nguyễn Thị Tuyết Dung,MF,VN,Vietnam,29,1993,0.8,0,0,0,0.0,0.0
162,Crystal Dunn,DF,US,USA,30,1992,4.2,0,1,0,0.0,0.0
163,Solène Durand,GK,FR,France,28,1994,0,0,0,0,0.0,0.0
164,Francesca Durante,GK,IT,Italy,26,1997,3,0,0,0,0.0,0.0
165,Mary Earps,GK,EN,England,30,1993,7.3,0,0,0,0.0,0.0
166,Onome Ebi,DF|MF,NG,Nigeria,40,1983,0.1,0,0,0,0.0,0.0
167,Jennifer Echegini,MF|FW,NG,Nigeria,22,2001,0.5,0,0,0,0.0,0.0
168,Sara Eggesvik,MF,PH,Philippines,26,1997,2.5,0,1,0,0.0,0.0
169,Emily van Egmond,FW|MF,AU,Australia,29,1993,4,1,9,2,0.111,0.5
170,Damaris Egurrola,MF,NL,Netherlands,23,1999,1.9,0,3,0,0.0,0.0
171,Amalie Eikeland,FW,NO,Norway,27,1995,0.6,0,1,0,0.0,0.0
172,Roseline Éloissaint,FW,HT,Haiti,24,1999,1.4,0,3,1,0.0,0.0
173,Telma Encarnação,FW,PT,Portugal,21,2001,1.1,1,8,5,0.125,0.2
174,Jun Endō,MF|DF,JP,Japan,23,2000,3.3,1,2,1,0.5,1.0
175,Bethany England,FW|MF,EN,England,29,1994,0.6,0,2,0,0.0,0.0
176,Khadija Er-Rmichi,GK,MA,Morocco,33,1989,4,0,0,0,0.0,0.0
177,Magdalena Eriksson,DF,SE,Sweden,29,1993,7.3,0,7,0,0.0,0.0
178,Julie Ertz,DF,US,USA,31,1992,4.3,0,9,2,0.0,0.0
179,Rebeca Espinosa,DF,PA,Panama,30,1992,0.3,0,0,0,0.0,0.0
180,Victoria Esson,GK,NZ,New Zealand,32,1991,3,0,1,0,0.0,0.0
181,Dani Étienne,MF,HT,Haiti,22,2001,0.1,0,0,0,0.0,0.0
182,Jeon Eun-ha,FW,KR,Korea Republic,30,1993,0.2,0,1,0,0.0,0.0
183,Park Eun-sun,FW|MF,KR,Korea Republic,36,1986,1.3,0,3,0,0.0,0.0
184,Niamh Fahey,DF,IE,Rep. of Ireland,35,1987,3,0,1,0,0.0,0.0
185,Daiana Falfán,MF,AR,Argentina,22,2000,1.9,0,0,0,0.0,0.0
186,Jennifer Falk,GK,SE,Sweden,30,1993,1,0,0,0,0.0,0.0
187,Sinead Farrelly,FW|MF,IE,Rep. of Ireland,33,1989,2.4,0,3,1,0.0,0.0
188,Laurina Fazer,MF,FR,France,19,2003,0.3,0,0,0,0.0,0.0
189,Naomie Feller,FW,FR,France,21,2001,0.1,0,0,0,0.0,0.0
190,Isabella Flanigan,MF|FW,PH,Philippines,18,2005,1.2,0,0,0,0.0,0.0
191,Jessie Fleming,MF,CA,Canada,25,1998,2,0,0,0,0.0,0.0
192,Caitlin Foord,MF|FW,AU,Australia,28,1994,7.3,1,16,2,0.062,0.5
193,Mary Fowler,FW,AU,Australia,20,2003,6.3,1,13,3,0.077,0.333
194,Emily Fox,DF,US,USA,24,1998,4.2,0,2,0,0.0,0.0
195,Laura Freigang,MF,DE,Germany,25,1998,0.1,0,1,0,0.0,0.0
196,Carleigh Frilles,FW,PH,Philippines,21,2002,0.1,0,1,0,0.0,0.0
197,Merle Frohms,GK,DE,Germany,28,1995,3,0,0,0,0.0,0.0
198,Aoba Fujino,FW|MF,JP,Japan,19,2004,4,1,13,4,0.077,0.25
199,Chun Ga-ram,MF,KR,Korea Republic,20,2002,0.7,0,1,0,0.0,0.0
200,Gabi Nunes,FW,BR,Brazil,26,1997,0.4,0,0,0,0.0,0.0
201,Rocío Gálvez,DF,ES,Spain,26,1997,1,0,0,0,0.0,0.0
202,Bongeka Gamede,MF|DF,ZA,South Africa,24,1999,4,0,2,0,0.0,0.0
203,Mille Gejl,FW|MF,DK,Denmark,23,1999,0.6,0,1,1,0.0,0.0
204,Lee Geum-min,MF|FW,KR,Korea Republic,29,1994,2,0,3,1,0.0,0.0
